Graph NumThread Time
graphs/coPapersDBLP.mtx 4 0.0183456
graphs/coPapersDBLP.mtx 8 0.0153254
graphs/coPapersDBLP.mtx 16 0.00987976
graphs/coPapersDBLP.mtx 1 0.0363199
graphs/coPapersDBLP.mtx 2 0.0269122
graphs/coPapersDBLP.mtx 4 0.0182222
graphs/coPapersDBLP.mtx 8 0.0117991
graphs/coPapersDBLP.mtx 16 0.00978477
graphs/coPapersDBLP.mtx 1 0.0364789
graphs/coPapersDBLP.mtx 2 0.0267952
graphs/coPapersDBLP.mtx 4 0.0195441
graphs/coPapersDBLP.mtx 8 0.0126037
graphs/coPapersDBLP.mtx 16 0.00911146
graphs/coPapersDBLP.mtx 1 0.0368294
graphs/coPapersDBLP.mtx 2 0.0273009
graphs/coPapersDBLP.mtx 4 0.018274
graphs/coPapersDBLP.mtx 8 0.0155058
graphs/coPapersDBLP.mtx 16 0.00976767
graphs/coPapersDBLP.mtx 1 0.0365382
graphs/coPapersDBLP.mtx 2 0.0437333
graphs/coPapersDBLP.mtx 4 0.0258518
graphs/coPapersDBLP.mtx 8 0.0124988
graphs/coPapersDBLP.mtx 16 0.0105712
graphs/coPapersDBLP.mtx 1 0.0372547
graphs/coPapersDBLP.mtx 2 0.0438733
graphs/coPapersDBLP.mtx 4 0.0176631
graphs/coPapersDBLP.mtx 8 0.0133543
graphs/coPapersDBLP.mtx 16 0.00980658
graphs/coPapersDBLP.mtx 1 0.0363763
graphs/coPapersDBLP.mtx 2 0.0269523
graphs/coPapersDBLP.mtx 4 0.0181578
graphs/coPapersDBLP.mtx 8 0.0154368
graphs/coPapersDBLP.mtx 16 0.00968121
graphs/coPapersDBLP.mtx 1 0.0377739
graphs/coPapersDBLP.mtx 2 0.0238041
graphs/coPapersDBLP.mtx 4 0.0212607
graphs/coPapersDBLP.mtx 8 0.0111991
graphs/coPapersDBLP.mtx 16 0.00988247
graphs/coPapersDBLP.mtx 1 0.0363846
graphs/coPapersDBLP.mtx 2 0.0274025
graphs/coPapersDBLP.mtx 4 0.018491
graphs/coPapersDBLP.mtx 8 0.0134294
graphs/coPapersDBLP.mtx 16 0.00933316
graphs/coPapersDBLP.mtx 1 0.0365208
graphs/coPapersDBLP.mtx 2 0.0268273
graphs/coPapersDBLP.mtx 4 0.0183132
graphs/coPapersDBLP.mtx 8 0.0137385
graphs/coPapersDBLP.mtx 16 0.0113527
graphs/coPapersDBLP.mtx 1 0.0363089
graphs/coPapersDBLP.mtx 2 0.0267557
graphs/coPapersDBLP.mtx 4 0.0182646
graphs/coPapersDBLP.mtx 8 0.0123623
graphs/coPapersDBLP.mtx 16 0.00970644
graphs/coPapersDBLP.mtx 1 0.0362971
graphs/coPapersDBLP.mtx 2 0.0267128
graphs/coPapersDBLP.mtx 4 0.0181755
graphs/coPapersDBLP.mtx 8 0.0133743
graphs/coPapersDBLP.mtx 16 0.010534
graphs/coPapersDBLP.mtx 1 0.0363159
graphs/coPapersDBLP.mtx 2 0.0267261
graphs/coPapersDBLP.mtx 4 0.0196563
graphs/coPapersDBLP.mtx 8 0.0154872
graphs/coPapersDBLP.mtx 16 0.00944412
graphs/coPapersDBLP.mtx 1 0.0363133
graphs/coPapersDBLP.mtx 2 0.0269949
graphs/coPapersDBLP.mtx 4 0.0181902
graphs/coPapersDBLP.mtx 8 0.0118331
graphs/coPapersDBLP.mtx 16 0.00968691
graphs/coPapersDBLP.mtx 1 0.0362781
graphs/coPapersDBLP.mtx 2 0.0271287
graphs/coPapersDBLP.mtx 4 0.0261255
graphs/coPapersDBLP.mtx 8 0.0155453
graphs/coPapersDBLP.mtx 16 0.0104364
graphs/coPapersDBLP.mtx 1 0.0363165
graphs/coPapersDBLP.mtx 2 0.0272563
graphs/coPapersDBLP.mtx 4 0.0187309
graphs/coPapersDBLP.mtx 8 0.0133723
graphs/coPapersDBLP.mtx 16 0.00969694
graphs/coPapersDBLP.mtx 1 0.0363787
graphs/coPapersDBLP.mtx 2 0.0268261
graphs/coPapersDBLP.mtx 4 0.0187681
graphs/coPapersDBLP.mtx 8 0.0146798
graphs/coPapersDBLP.mtx 16 0.00974788
graphs/coPapersDBLP.mtx 1 0.0364397
graphs/coPapersDBLP.mtx 2 0.0268353
graphs/coPapersDBLP.mtx 4 0.0243001
graphs/coPapersDBLP.mtx 8 0.0133451
graphs/coPapersDBLP.mtx 16 0.0115537
graphs/coPapersDBLP.mtx 1 0.0361409
graphs/coPapersDBLP.mtx 2 0.0267601
graphs/coPapersDBLP.mtx 4 0.0182604
graphs/coPapersDBLP.mtx 8 0.0145816
graphs/coPapersDBLP.mtx 16 0.00948023
graphs/coPapersDBLP.mtx 1 0.0363825
graphs/coPapersDBLP.mtx 2 0.0267828
graphs/coPapersDBLP.mtx 4 0.0198531
graphs/coPapersDBLP.mtx 8 0.0144621
graphs/coPapersDBLP.mtx 16 0.0090793
graphs/coPapersDBLP.mtx 1 0.0362496
graphs/coPapersDBLP.mtx 2 0.0447421
graphs/coPapersDBLP.mtx 4 0.0242741
graphs/coPapersDBLP.mtx 8 0.0127338
graphs/coPapersDBLP.mtx 16 0.00977269
graphs/coPapersDBLP.mtx 1 0.036317
graphs/coPapersDBLP.mtx 2 0.0268875
graphs/coPapersDBLP.mtx 4 0.0181399
graphs/coPapersDBLP.mtx 8 0.0131225
graphs/coPapersDBLP.mtx 16 0.00945061
graphs/coPapersDBLP.mtx 1 0.0369423
graphs/coPapersDBLP.mtx 2 0.0415315
graphs/coPapersDBLP.mtx 4 0.0252145
graphs/coPapersDBLP.mtx 8 0.0130534
graphs/coPapersDBLP.mtx 16 0.0105259
graphs/coPapersDBLP.mtx 1 0.0362454
graphs/coPapersDBLP.mtx 2 0.0269317
graphs/coPapersDBLP.mtx 4 0.020113
graphs/coPapersDBLP.mtx 8 0.0125126
graphs/coPapersDBLP.mtx 16 0.0101088
graphs/coPapersDBLP.mtx 1 0.0363598
graphs/coPapersDBLP.mtx 2 0.0268622
graphs/coPapersDBLP.mtx 4 0.0200721
graphs/coPapersDBLP.mtx 8 0.0125709
graphs/coPapersDBLP.mtx 16 0.0114504
graphs/rmat-b.mtx 1 1.95819
graphs/rmat-b.mtx 2 1.30995
graphs/rmat-b.mtx 4 0.961677
graphs/rmat-b.mtx 8 0.553797
graphs/rmat-b.mtx 16 0.464097
